,kernel,C,accuracy,comp time
0,gaussian,1.0,92.10006583278472,25.193681716918945
1,gaussian,10.0,92.10006583278472,28.613085508346558
2,gaussian,100.0,92.10006583278472,28.880832195281982
3,gaussian,1000.0,92.42922975641869,27.962255239486694
4,gaussian,10000.0,92.82422646477946,29.376584768295288
5,gaussian,100000.0,91.11257406188282,35.175718545913696
6,gaussian,1000000.0,91.31007241606319,34.939327239990234
7,gaussian,10000000.0,90.65174456879527,37.7105815410614
8,gaussian,100000000.0,90.45424621461488,43.544360876083374
9,polynomial,1.0,88.21593153390388,35.55036997795105
10,polynomial,10.0,91.96840026333113,34.643818616867065
11,polynomial,100.0,90.19091507570771,34.22642779350281
12,polynomial,1000.0,88.54509545753785,34.363197565078735
13,polynomial,10000.0,88.28176431863068,34.5220365524292
14,polynomial,100000.0,86.24094799210006,42.07550072669983
15,polynomial,1000000.0,81.36932192231731,44.48060059547424
16,polynomial,10000000.0,79.3943383805135,45.41336393356323
17,polynomial,100000000.0,81.89598420013166,49.758294105529785
18,linear,1.0,89.92758393680053,22.5046706199646
19,linear,10.0,91.31007241606319,28.07599949836731
20,linear,100.0,91.04674127715603,27.984390258789062
21,linear,1000.0,80.64516129032258,32.93257665634155
22,linear,10000.0,73.93021724818959,39.27518010139465
23,linear,100000.0,66.55694535878868,48.08783483505249
24,linear,1000000.0,63.59447004608295,56.338130950927734
25,linear,10000000.0,63.396971691902564,60.15633273124695
26,linear,100000000.0,63.19947333772219,64.79055762290955
27,sigmoid,1.0,88.74259381171824,26.48391842842102
28,sigmoid,10.0,88.74259381171824,28.700223207473755
29,sigmoid,100.0,88.67676102699144,24.116053819656372
30,sigmoid,1000.0,89.137590520079,19.69281315803528
31,sigmoid,10000.0,90.78341013824885,25.591782093048096
32,sigmoid,100000.0,91.70506912442396,32.5099196434021
33,sigmoid,1000000.0,88.0842659644503,38.34602427482605
34,sigmoid,10000000.0,73.20605661619487,23.531473875045776
35,sigmoid,100000000.0,68.20276497695852,22.844289302825928
