kernel,C,gamma,accuracy,comp time
gaussian,0.001,0.01,39.4078947368421,30.23641300201416
gaussian,0.001,0.1,39.4078947368421,32.00808882713318
gaussian,0.001,0.5,39.4078947368421,31.09346628189087
gaussian,0.001,1.0,39.4078947368421,34.32815742492676
gaussian,0.001,10.0,39.4078947368421,52.55459022521973
gaussian,0.001,100.0,39.4078947368421,27.25415015220642
gaussian,0.01,0.01,39.4078947368421,23.92338538169861
gaussian,0.01,0.1,39.4078947368421,37.40516924858093
gaussian,0.01,0.5,39.4078947368421,33.88218665122986
gaussian,0.01,1.0,39.4078947368421,35.49217176437378
gaussian,0.01,10.0,39.4078947368421,56.22449254989624
gaussian,0.01,100.0,39.4078947368421,29.35170292854309
gaussian,0.1,0.01,85.39473684210526,26.80373525619507
gaussian,0.1,0.1,44.3421052631579,35.52292084693909
gaussian,0.1,0.5,39.4078947368421,35.559348583221436
gaussian,0.1,1.0,39.4078947368421,37.491212606430054
gaussian,0.1,10.0,39.4078947368421,52.90292406082153
gaussian,0.1,100.0,39.4078947368421,27.414059162139893
gaussian,1.0,0.01,92.5,29.363324880599976
gaussian,1.0,0.1,92.5,35.409841775894165
gaussian,1.0,0.5,68.94736842105263,30.976638078689575
gaussian,1.0,1.0,62.5,27.715766668319702
gaussian,1.0,10.0,50.19736842105263,45.942424058914185
gaussian,1.0,100.0,39.4078947368421,25.150911808013916
gaussian,10.0,0.01,93.6842105263158,31.506303787231445
gaussian,10.0,0.1,92.03947368421052,35.45423626899719
gaussian,10.0,0.5,83.35526315789474,38.69329214096069
gaussian,10.0,1.0,79.34210526315789,37.2067346572876
gaussian,10.0,10.0,74.73684210526316,62.47900605201721
gaussian,10.0,100.0,49.14473684210526,26.979329586029053
gaussian,100.0,0.01,93.42105263157895,43.41364645957947
gaussian,100.0,0.1,90.98684210526316,41.97328329086304
gaussian,100.0,0.5,82.23684210526316,39.333101749420166
gaussian,100.0,1.0,78.88157894736842,40.279268980026245
gaussian,100.0,10.0,74.27631578947368,60.046186685562134
gaussian,100.0,100.0,71.77631578947368,31.426525592803955
gaussian,1000.0,0.01,91.90789473684211,43.225136518478394
gaussian,1000.0,0.1,90.0,39.50111961364746
gaussian,1000.0,0.5,81.97368421052632,45.12966465950012
gaussian,1000.0,1.0,78.8157894736842,41.290011167526245
gaussian,1000.0,10.0,74.14473684210526,72.82009696960449
gaussian,1000.0,100.0,70.98684210526316,42.89500641822815
gaussian,10000.0,0.01,91.05263157894737,52.190595388412476
gaussian,10000.0,0.1,88.35526315789474,54.57741665840149
gaussian,10000.0,0.5,80.98684210526316,51.713610887527466
gaussian,10000.0,1.0,78.61842105263158,48.24609017372131
gaussian,10000.0,10.0,74.01315789473684,84.25175285339355
gaussian,10000.0,100.0,71.90789473684211,40.52514934539795
gaussian,100000.0,0.01,89.73684210526316,58.74821329116821
gaussian,100000.0,0.1,86.84210526315789,54.97656059265137
gaussian,100000.0,0.5,80.52631578947368,52.84778118133545
gaussian,100000.0,1.0,78.55263157894737,51.636900663375854
gaussian,100000.0,10.0,74.14473684210526,84.01971316337585
gaussian,100000.0,100.0,71.44736842105263,40.99677348136902
polynomial,0.001,0.01,39.4078947368421,41.72127676010132
polynomial,0.001,0.1,40.46052631578947,35.73350739479065
polynomial,0.001,0.5,53.94736842105263,43.874491453170776
polynomial,0.001,1.0,86.11842105263158,42.25513505935669
polynomial,0.001,10.0,89.86842105263158,44.17885756492615
polynomial,0.001,100.0,87.4342105263158,52.48480224609375
polynomial,0.01,0.01,39.4078947368421,32.06861209869385
polynomial,0.01,0.1,46.776315789473685,35.46154856681824
