C,gamma,accuracy,comp time
10.0,0.01,93.6842105263158,28.06709861755371
100.0,0.01,93.42105263157896,35.211774587631226
1.0,100.0,93.35526315789474,56.7486674785614
10000.0,0.01,93.35526315789474,72.79290843009949
10.0,10.0,93.35526315789474,62.28092813491821
100.0,0.5,93.28947368421052,68.27371096611023
1000.0,0.1,93.28947368421052,58.57251715660095
100.0,1.0,93.28947368421052,76.43097639083862
10000.0,0.5,93.22368421052632,63.69671249389648
100000.0,1.0,93.22368421052632,68.87640881538391
100000.0,0.1,93.22368421052632,67.65188217163086
10000.0,100.0,93.22368421052632,95.11785054206848
10000.0,10.0,93.22368421052632,70.39914774894714
10000.0,1.0,93.22368421052632,64.26012396812439
1000.0,10.0,93.22368421052632,85.84995317459106
100000.0,0.5,93.22368421052632,69.07394337654114
100000.0,100.0,93.22368421052632,150.31139874458313
1000.0,100.0,93.22368421052632,88.40236854553223
100.0,100.0,93.22368421052632,80.0365297794342
100000.0,10.0,93.22368421052632,104.0144681930542
1000.0,1.0,93.15789473684212,74.00882625579834
100.0,10.0,93.15789473684212,65.32192540168762
10.0,100.0,93.15789473684212,59.70614314079285
10000.0,0.1,93.15789473684212,78.76173901557922
100000.0,0.01,93.15789473684212,65.7013041973114
1000.0,0.5,93.09210526315788,78.10952258110046
1.0,1.0,92.96052631578948,46.69340252876282
0.1,10.0,92.96052631578948,44.189175844192505
10.0,0.1,92.96052631578948,44.82684779167175
0.01,100.0,92.96052631578948,42.11408257484436
100.0,0.01,92.96052631578948,47.570963859558105
10.0,0.5,92.96052631578948,55.46471333503723
1.0,0.5,92.89473684210526,37.74276399612427
10.0,0.01,92.82894736842104,34.69588828086853
0.01,10.0,92.82894736842104,35.132349729537964
0.1,1.0,92.76315789473684,35.599048376083374
1000.0,0.0003245699448231,92.76315789473684,41.41699934005737
1.0,0.1,92.76315789473684,35.85548186302185
10.0,1.0,92.76315789473684,58.35935664176941
1.0,10.0,92.76315789473684,52.57293438911438
100.0,0.1,92.76315789473684,60.85212326049805
1000.0,0.01,92.76315789473684,52.183892011642456
0.1,100.0,92.76315789473684,50.42900466918945
0.001,100.0,92.76315789473684,43.16284370422363
1.0,0.1,92.5,32.701207399368286
1.0,0.01,92.5,26.88936686515808
0.1,0.5,92.4342105263158,35.38613557815552
100.0,0.0003245699448231,92.03947368421052,35.030818700790405
100.0,0.01,92.03947368421052,31.975011348724365
1.0,0.1,92.03947368421052,31.626646518707275
0.01,1.0,92.03947368421052,33.875415086746216
10.0,0.1,92.03947368421052,29.27817153930664
1000.0,0.01,91.90789473684212,36.201406717300415
10000.0,0.0003245699448231,91.90789473684212,24.72186088562012
100000.0,0.0003245699448231,91.84210526315788,23.265380859375
1.0,0.01,91.77631578947368,29.078761339187626
0.1,0.1,91.77631578947368,28.758912801742557
0.001,10.0,91.77631578947368,33.498371839523315
0.01,1.0,91.77631578947368,29.688942193984985
10.0,0.0003245699448231,91.71052631578948,26.952861309051517
0.01,0.5,91.51315789473684,29.206830739974976
0.01,0.5,91.1842105263158,30.643757820129395
0.1,0.5,91.11842105263158,33.77327537536621
10000.0,0.01,91.05263157894736,43.50275158882141
100.0,0.1,90.98684210526316,32.662978172302246
1000.0,0.1,90.0,36.05656218528748
0.001,10.0,89.86842105263158,36.53581809997559
0.1,1.0,89.86842105263158,35.10762405395508
1000.0,0.01,89.86842105263158,44.74437236785889
10.0,0.1,89.86842105263158,32.19978189468384
100000.0,0.01,89.73684210526316,47.709336280822754
1.0,0.5,88.42105263157895,35.292126178741455
10000.0,0.1,88.35526315789474,47.296125173568726
10.0,0.5,87.76315789473684,34.85027861595154
10000.0,0.01,87.69736842105263,44.80607175827026
100.0,0.1,87.69736842105263,33.83310866355896
1.0,1.0,87.69736842105263,34.48524856567383
0.01,10.0,87.69736842105263,36.309650897979736
100.0,0.5,87.5657894736842,36.792784452438354
1000.0,0.1,87.4342105263158,46.361823081970215
10.0,1.0,87.4342105263158,32.36246395111084
100000.0,0.01,87.4342105263158,52.518561363220215
0.1,10.0,87.4342105263158,39.23852682113648
0.001,100.0,87.4342105263158,42.3978123664856
100000.0,0.1,86.84210526315789,44.622167348861694
0.01,0.1,86.51315789473684,26.918712377548218
0.1,0.1,86.11842105263158,32.323357582092285
0.001,1.0,86.11842105263158,35.912166357040405
0.001,1.0,86.11842105263158,27.419981956481934
10.0,0.01,86.11842105263158,27.880659103393555
0.1,0.01,86.05263157894737,27.995042085647583
10000.0,0.1,85.52631578947368,48.495625495910645
1.0,10.0,85.52631578947368,42.63503336906433
0.01,100.0,85.52631578947368,46.43134689331055
100.0,1.0,85.52631578947368,36.38224196434021
0.1,0.01,85.39473684210526,23.147257089614868
1000.0,0.5,85.13157894736842,44.24669981002808
100000.0,0.5,84.73684210526316,60.64180397987366
1000.0,10.0,84.60526315789474,47.24561667442322
100000.0,1.0,84.60526315789474,48.18613600730896
10.0,100.0,84.60526315789474,47.612600564956665
0.1,100.0,84.53947368421052,48.890793800354
100000.0,0.1,84.53947368421052,53.58192205429077
10.0,10.0,84.53947368421052,37.71011900901794
1000.0,1.0,84.53947368421052,47.98297667503357
10000.0,1.0,83.6842105263158,52.09312582015991
100.0,10.0,83.6842105263158,41.06119728088379
1.0,100.0,83.6842105263158,56.13014817237854
1000.0,100.0,83.48684210526316,58.503129959106445
100000.0,10.0,83.48684210526316,79.06022644042969
10000.0,0.5,83.42105263157895,58.68551397323608
10.0,0.5,83.35526315789474,30.01813149452209
10000.0,100.0,83.28947368421052,85.71260070800781
100000.0,100.0,83.09210526315789,54.8013482093811
100.0,100.0,83.09210526315789,49.71282887458801
10000.0,10.0,83.09210526315789,55.216285705566406
100.0,0.5,82.23684210526316,31.696391105651852
1000.0,0.5,81.97368421052632,34.42126226425171
10000.0,0.5,80.98684210526316,37.25278878211975
100000.0,0.5,80.52631578947368,43.63732123374939
10.0,1.0,79.34210526315789,29.165597677230835
100.0,1.0,78.88157894736842,33.380011558532715
1000.0,1.0,78.8157894736842,34.85097408294678
10000.0,1.0,78.61842105263158,39.24854898452759
100000.0,1.0,78.55263157894737,42.6005744934082
10.0,10.0,74.73684210526316,55.54866313934326
100.0,10.0,74.27631578947368,53.82943058013916
100000.0,10.0,74.14473684210526,68.56155896186829
1000.0,10.0,74.14473684210526,58.6888587474823
10000.0,10.0,74.01315789473684,66.88660264015198
0.001,0.5,73.61842105263158,28.891611099243164
10000.0,100.0,71.90789473684211,34.283743381500244
100.0,100.0,71.77631578947368,28.236721754074097
100000.0,100.0,71.44736842105263,34.09406876564026
1000.0,100.0,70.98684210526316,33.962799310684204
1.0,0.5,68.94736842105263,26.05273723602295
1.0,1.0,62.5,27.178482055664062
1.0,0.0003245699448231,58.81578947368421,23.496384859085083
0.001,0.5,53.94736842105263,36.457438230514526
1.0,10.0,50.19736842105263,43.59246063232422
10.0,100.0,49.14473684210526,25.456478357315063
0.01,0.1,46.776315789473685,29.28752112388611
1.0,0.01,46.776315789473685,26.43283581733704
0.1,0.1,44.3421052631579,31.47320342063904
0.001,0.1,40.46052631578947,29.64348554611206
0.1,0.01,40.46052631578947,26.85364508628845
0.01,0.01,40.0,26.20156693458557
0.001,0.1,40.0,30.887492656707764
0.001,0.01,39.4078947368421,32.1103618144989
0.01,0.1,39.4078947368421,33.843836545944214
0.001,0.5,39.4078947368421,29.545966148376465
